req_id,prompt_tokens,generation_tokens,offload_target,total_latency_ms
395,8,69,cloud,257.7273379454127
396,8,151,cloud,332.27277315440006
397,575,463,cloud,615.9129238267342
398,335,12,cloud,205.9112484358775
400,348,203,cloud,379.5476242868026
401,30,128,cloud,311.36380847326654
402,2714,13,cloud,206.839805111842
399,97,515,cloud,663.1823217274214
403,644,141,cloud,323.1850995682471
404,42,229,cloud,403.1820330740593
406,292,16,cloud,209.5472829475475
405,11,527,cloud,674.0910060159367
407,59,39,cloud,230.4551054021431
408,13,384,cloud,544.0910248379078
409,17,322,cloud,487.727394970294
411,4,29,cloud,221.36366931546945
410,6,393,cloud,552.2727674347698
412,4,8,cloud,202.27275678030855
413,5,177,cloud,355.9091241918941
416,1,9,cloud,203.1818228930788
414,79,843,cloud,961.3640411513043
417,30,90,cloud,276.8184668075264
415,13,292,cloud,460.4546386773436
418,21,156,cloud,336.81833132846805
420,17,372,cloud,533.1819235982402
419,365,912,cloud,1024.0931790158502
421,53,280,cloud,449.54575739034044
422,55,134,cloud,316.81859280663775
423,9,74,cloud,262.272804759632
424,252,90,cloud,276.82059200402
425,8,107,cloud,292.27277699808474
426,9,49,cloud,239.54549067516928
428,5,143,cloud,325.0000438531424
430,20,27,cloud,219.5455667287897
431,308,105,cloud,290.4565372379875
427,61,553,cloud,697.7275057119405
429,633,475,cloud,626.8215025034151
432,18,279,cloud,448.6364273204381
433,16,308,cloud,475.00009525191854
434,12,418,cloud,575.0000779654074
435,26,23,cloud,215.90919310366735
436,74,12,cloud,205.90946546920168
437,2,19,cloud,212.272740098575
438,13,179,cloud,357.72739008665667
439,6,68,cloud,256.8182218661241
440,49,124,cloud,307.727666759587
441,19,492,cloud,642.2728279592411
442,57,416,cloud,573.1821912274027
443,81,90,cloud,276.818933160961
446,88,4,cloud,198.63670424878364
444,12,290,cloud,458.6364150349109
447,9,139,cloud,321.3637182791572
445,30,718,cloud,847.7274710488127
448,45,409,cloud,566.8185226171481
449,748,40,cloud,231.36627104938088
450,2,119,cloud,303.18182619124127
452,19,84,cloud,271.36375770955055
453,25,184,cloud,362.2728703909088
454,32,266,cloud,436.81828831393796
457,26,14,cloud,207.7274962972151
455,382,281,cloud,450.4568249199219
458,45,66,cloud,255.00035160304105
456,597,493,cloud,643.1854609126749
451,61,1568,cloud,1620.4550687332376
460,220,308,cloud,475.00164563418366
463,29,2,cloud,196.818450541934
462,190,64,cloud,253.18329369847197
461,15,376,cloud,536.8182600485598
464,27,54,cloud,244.09104697103612
459,12,583,cloud,725.0000654560718
465,8,10,cloud,204.09095619275467
466,35,21,cloud,214.09115970642597
467,32,17,cloud,210.45473517251958
468,32,63,cloud,252.27294437517412
470,10,348,cloud,511.36372760345694
469,108,470,cloud,622.2731416937604
472,11,148,cloud,329.54555576096755
473,17,132,cloud,315.00006888589996
474,50,83,cloud,270.45489111257484
471,17,377,cloud,537.7273914655234
477,4,33,cloud,225.00003800161358
476,17,339,cloud,503.1819784543768
475,846,525,cloud,672.2779527530802
478,50,225,cloud,399.5459155409626
480,85,1,cloud,195.9094569995068
479,194,455,cloud,608.6379096416931
482,982,72,cloud,260.4619442432595
481,240,286,cloud,455.00089181779185
483,9,506,cloud,655.0000810355705
484,26,535,cloud,681.3638416977483
485,11,479,cloud,630.4546349274024
486,36,20,cloud,213.18199050831026
