req_id,prompt_tokens,generation_tokens,offload_target,total_latency_ms
300,14,425,user,9731064.346953588
301,1,119,user,9751446.965740152
302,65,424,user,9824192.352316761
303,88,354,user,9885156.639357636
304,30,116,user,9905430.369068017
305,9,1,user,9906143.591165341
306,35,268,user,9952439.811939623
307,341,82,user,9966971.535085252
308,4,31,user,9972816.036922056
309,261,442,user,10048800.768678142
310,1,37,user,10055070.75640071
311,31,9,user,10056871.87348659
312,53,752,user,10185704.928807218
313,307,1632,user,10464793.882794315
314,21,359,user,10526580.633452563
315,7,235,user,10567179.223174617
316,5,81,user,10581522.213828212
317,8,285,user,10630522.106695024
318,9,349,user,10690301.427321196
319,28,38,user,10697097.780343369
320,85,656,user,10809326.035199113
321,36,115,user,10828852.295859173
322,36,539,user,10920887.364557626
323,2,15,user,10923959.766773503
324,26,254,user,10967862.15415531
325,4,60,user,10978528.053276576
326,231,6,user,10979927.09813687
327,1,9,user,10981916.825666767
328,15,482,user,11064650.951544061
329,405,328,user,11121180.729652826
330,374,65,user,11132870.50645526
331,52,5,user,11133821.581544342
332,23,538,user,11225816.85131711
333,192,493,user,11309779.84730449
334,436,327,user,11366065.156283228
335,102,64,user,11377337.773762658
336,10,208,user,11413223.107970515
337,459,63,user,11424063.029255193
338,27,108,user,11443093.045220703
339,20,584,user,11542891.5583834
340,34,45,user,11551144.049699157
341,15,349,user,11611206.70577074
342,2,19,user,11614306.306994734
343,34,406,user,11683764.980238646
344,33,428,user,11757296.478761207
345,7,507,user,11844244.83994777
346,1,464,user,11923727.324205447
347,30,67,user,11935740.411363423
348,47,321,user,11990839.423446797
349,349,839,user,12134272.40814484
350,287,221,user,12172456.373277895
351,7,5,user,12173870.55947064
352,340,58,user,12184301.7337739
353,525,397,user,12252465.295438804
354,6,53,user,12261947.376274195
355,12,231,user,12301696.788660116
356,17,397,user,12369969.618576353
357,876,17,user,12373397.912319165
358,275,656,user,12485834.141457995
359,17,420,user,12557514.73283235
360,8,49,user,12566467.814983556
361,13,60,user,12577087.403329214
362,33,59,user,12587466.52548855
363,10,38,user,12594370.586495772
364,18,335,user,12651990.040665852
365,15,458,user,12730195.605884219
366,139,475,user,12811636.936491871
367,246,71,user,12823993.867114836
368,13,55,user,12833881.32288788
369,30,51,user,12842637.92137085
370,10,295,user,12893235.84030524
371,4,136,user,12916794.129435176
372,462,66,user,12928628.649609089
373,396,107,user,12947416.505998585
374,24,22,user,12951739.732642783
375,2,9,user,12953547.926648423
376,26,630,user,13061357.092767365
377,19,164,user,13089920.596172282
378,83,506,user,13176213.373438213
379,9,154,user,13202591.098826876
380,244,37,user,13209350.515992057
381,46,100,user,13226596.268406399
382,58,596,user,13328888.76300619
383,618,94,user,13345489.277765151
384,196,9,user,13347577.575783944
385,37,446,user,13424216.264229966
386,10,153,user,13450865.19675798
387,6,326,user,13506819.87800274
388,11,574,user,13605339.358694874
389,21,201,user,13640170.407348532
390,11,297,user,13690871.493851934
391,38,211,user,13727342.288438346
392,81,423,user,13798085.724193837
393,4,243,user,13840123.63578356
394,289,12,user,13842600.672351219
395,81,221,user,13880882.970911693
396,160,411,user,13951432.05435119
397,29,166,user,13980009.149340445
398,17,480,user,14062374.364138134
399,60,432,user,14136390.807429893
400,154,55,user,14146004.88385935
401,279,29,user,14151490.805455523
402,8,52,user,14160394.389663527
403,9,1,user,14160715.663346283
404,77,480,user,14242824.789805662
405,95,375,user,14307229.873815536
406,82,51,user,14316409.402192745
407,99,226,user,14355437.995235225
408,7,74,user,14368598.507846428
409,37,778,user,14501925.54923099
410,6,237,user,14542629.290317561
411,110,405,user,14612182.878968345
412,80,459,user,14690942.28420413
413,7,282,user,14739537.551316692
414,166,952,user,14902572.588942556
415,27,50,user,14911657.806706263
416,23,79,user,14925660.841540944
417,57,50,user,14934535.882668924
418,124,35,user,14941069.20454772
419,11,257,user,14985468.496229954
420,6,55,user,14994789.165752787
421,1,114,user,15014345.781671308
422,3,7,user,15015998.162321081
423,15,142,user,15040635.644545943
424,73,106,user,15059231.91789924
425,24,128,user,15080978.323794093
426,60,1113,user,15271058.419604031
427,30,130,user,15293137.556672832
428,321,205,user,15328575.474452889
429,1,9,user,15330677.764174942
430,15,221,user,15368617.497450825
431,27,279,user,15416570.657561231
432,86,445,user,15492368.0223449
433,18,48,user,15501044.969900774
434,9,11,user,15503105.919046666
435,7,95,user,15519575.86987827
436,15,472,user,15600670.585366834
437,7,263,user,15645952.587314885
438,6,37,user,15652698.027565302
439,20,418,user,15724488.340243949
440,12,265,user,15770103.254850157
441,38,343,user,15828961.889258815
442,11,654,user,15940850.448089488
443,54,126,user,15962681.320934875
444,518,497,user,16047961.864064254
445,393,12,user,16050380.379444873
446,103,32,user,16056351.03472089
447,8,15,user,16059412.813970193
448,109,1,user,16060125.399898892
449,64,352,user,16120155.340429353
450,289,100,user,16137567.038216522
451,151,190,user,16170497.11226393
452,36,17,user,16173822.44035772
453,36,276,user,16221221.43507972
454,11,31,user,16226874.15020427
455,112,289,user,16276537.21655885
456,16,207,user,16312109.674642237
457,1,9,user,16314132.837824848
458,6,124,user,16335516.815188136
459,230,152,user,16361505.876483079
460,335,15,user,16364016.626540378
461,7,34,user,16370397.515011754
462,234,477,user,16451797.709652886
463,10,22,user,16456046.060460698
464,1,9,user,16458073.294237485
465,26,655,user,16569951.519670498
466,20,84,user,16584633.864950418
467,9,337,user,16642243.627617367
468,35,658,user,16755129.57170242
469,1,9,user,16757235.290263439
470,54,226,user,16796320.991874233
471,79,436,user,16871318.96370055
472,2,9,user,16873311.217373967
473,158,444,user,16949532.74048515
474,10,14,user,16952224.105970357
475,26,40,user,16959413.601884726
476,8,30,user,16965077.788583465
477,62,136,user,16988752.59498346
478,99,1267,user,17204455.178808182
479,46,74,user,17217389.730239257
480,14,224,user,17255634.84607652
481,17,309,user,17308028.287032757
482,85,29,user,17313272.792834062
483,79,22,user,17317300.681234147
484,10,391,user,17384542.441298265
485,705,1025,user,17559781.402627327
486,66,1,user,17560374.905155495
487,40,26,user,17565346.41717631
488,338,26,user,17570245.92384617
489,8,222,user,17608629.44329674
490,6,80,user,17622467.84981832
491,165,140,user,17646380.23047173
492,5,1,user,17647132.54588284
493,109,154,user,17673908.767385792
494,197,141,user,17698519.85982348
495,4,232,user,17738570.79350126
496,26,333,user,17795564.054667715
497,26,551,user,17890132.724699873
498,35,114,user,17909889.99845846
499,8,69,user,17922217.499912806
500,104,47,user,17930752.945399165
501,83,424,user,18003651.823946495
502,4,31,user,18008797.505674098
503,92,35,user,18015287.255132638
504,75,264,user,18060498.554459333
505,114,2,user,18061396.82573453
506,17,503,user,18147111.395410717
507,8,23,user,18151592.196005106
508,22,116,user,18171895.20725008
509,66,147,user,18197512.14276398
510,16,458,user,18276237.13503814
511,1,13,user,18278057.439758085
512,327,177,user,18307834.299657587
513,9,192,user,18341114.539837938
514,35,571,user,18439019.496610995
515,89,80,user,18452731.936049238
516,5,41,user,18460298.351379286
517,12,118,user,18480575.370651055
518,523,32,user,18486388.855301205
519,10,9,user,18488409.86287772
520,33,234,user,18528739.152784664
521,191,536,user,18620602.728410587
522,197,415,user,18691821.402119678
523,7,23,user,18696300.23735904
524,43,415,user,18767358.57025612
525,26,363,user,18829855.979722615
526,7,275,user,18877364.929091603
527,586,193,user,18910765.590904746
528,221,63,user,18921840.460883126
529,5,17,user,18925339.440633707
530,18,108,user,18944365.781810418
531,47,44,user,18952463.047110066
532,1,23,user,18956970.383191194
533,22,25,user,18961207.27097597
534,23,553,user,19056144.95826091
535,53,17,user,19058844.443595022
536,1,9,user,19060674.36396666
537,18,507,user,19147572.80514283
538,5,29,user,19152552.77696413
539,17,278,user,19200310.839104686
540,60,32,user,19206216.63072245
