req_id,prompt_tokens,generation_tokens,offload_target,total_latency_ms
325,86,27,edge,1744996.370441589
326,16,21,edge,1745360.1138662866
327,360,12,edge,1745490.3408911163
328,58,214,edge,1750236.4898485134
329,8,48,edge,1751589.1116211698
330,5,3,edge,1751837.4337527172
331,31,92,edge,1753648.5383802669
332,422,548,edge,1767643.7777238388
333,22,332,edge,1776182.8406182455
334,26,66,edge,1778048.5842949033
335,50,61,edge,1779845.189852588
336,116,380,edge,1789566.83315904
337,1,9,edge,1789445.9608849068
338,19,17,edge,1790153.4248004216
339,5,350,edge,1799119.3574646683
340,685,37,edge,1800225.9917614812
341,33,520,edge,1813493.0672791454
342,2,153,edge,1817596.1009904826
343,8,30,edge,1818641.6262891516
344,15,204,edge,1823944.656857462
345,8,7,edge,1824414.4503631918
346,149,91,edge,1826855.378342008
347,20,339,edge,1835585.8544028224
348,8,512,edge,1848406.997832313
349,26,11,edge,1848673.4125064327
350,102,2,edge,1849010.5885401033
351,17,70,edge,1851056.3295701672
352,10,108,edge,1853838.5979732822
353,17,252,edge,1860438.0604782049
354,13,238,edge,1866682.8210694396
355,458,521,edge,1879912.1972554242
356,365,100,edge,1882334.262428705
357,53,64,edge,1884209.686525562
358,169,94,edge,1886768.0055651423
359,254,7,edge,1887227.5685902303
360,68,65,edge,1889069.0575259211
361,7,19,edge,1889665.1266701026
362,302,162,edge,1893912.500909639
363,21,78,edge,1896003.2273636933
364,20,299,edge,1903713.318637732
365,65,6,edge,1904159.9948386257
366,50,15,edge,1904623.4672939908
367,13,73,edge,1906673.3293363128
368,60,42,edge,1907937.6587449987
369,21,194,edge,1912810.461763217
370,13,359,edge,1922059.9739198491
371,247,59,edge,1923666.4421740102
372,12,29,edge,1924596.881619209
373,25,121,edge,1927856.0243940288
374,448,449,edge,1938943.2232051003
375,3,48,edge,1939505.350703655
376,85,424,edge,1950351.3760602975
377,671,436,edge,1961506.2960989925
378,4,33,edge,1962336.2288359967
379,13,429,edge,1973284.64610165
380,26,21,edge,1974076.1823689512
381,16,460,edge,1985709.9937274507
382,32,10,edge,1986029.5330620178
383,278,125,edge,1989431.0838293019
384,305,25,edge,1990331.8343133696
385,36,78,edge,1992411.2957860837
386,6,11,edge,1992808.6634816842
387,3,61,edge,1994607.9701348413
388,31,456,edge,2006172.2613317384
389,10,244,edge,2011898.0454483142
390,25,27,edge,2012257.5400603518
391,33,27,edge,2013086.1470305235
392,1,39,edge,2013570.4185873384
393,29,757,edge,2032603.6014323477
394,101,520,edge,2045513.7754766953
395,290,905,edge,2068231.6394857243
396,5,23,edge,2069064.862617319
397,8,71,edge,2071115.051524554
398,19,491,edge,2083415.8605247948
399,7,120,edge,2086394.3157823207
400,26,33,edge,2086660.0696231148
401,27,339,edge,2095218.5807409887
402,137,18,edge,2095509.7827250222
403,105,433,edge,2106001.007179805
404,101,10,edge,2106469.7505651927
405,156,456,edge,2117937.405792541
406,98,514,edge,2130970.51544445
407,67,110,edge,2133971.4691803427
408,50,189,edge,2138625.9253892684
409,20,161,edge,2142532.598326113
410,244,141,edge,2146184.929103837
411,220,323,edge,2154485.7389175543
412,6,28,edge,2155432.7527482877
413,1125,506,edge,2167867.700677194
414,9,93,edge,2170225.0705382624
415,18,31,edge,2171254.850576219
416,60,11,edge,2171720.976590069
417,20,42,edge,2171892.8723183083
418,289,3,edge,2171862.670708025
419,46,187,edge,2176645.854252444
420,66,1,edge,2175395.511506841
421,17,68,edge,2177244.588782238
422,30,25,edge,2178032.3764647725
423,291,248,edge,2184378.9049592107
424,303,400,edge,2194471.180811185
425,5,27,edge,2195376.50386527
426,604,565,edge,2209615.4028217816
427,86,17,edge,2210326.946176444
428,8,35,edge,2210486.932886595
429,134,58,edge,2212150.0210084254
430,45,132,edge,2215375.452434074
431,15,17,edge,2215916.007464931
432,23,59,edge,2217650.723007104
433,21,315,edge,2225803.193313989
434,25,599,edge,2240308.247122773
435,1,7,edge,2240725.679970587
436,12,515,edge,2253728.589954604
437,26,71,edge,2255797.4763959004
438,107,1,edge,2256020.521862459
439,4,488,edge,2268386.1753156455
440,35,30,edge,2269386.0858250745
441,10,315,edge,2277476.230574924
442,15,357,edge,2286568.190953991
443,43,88,edge,2288930.1009812914
444,1012,310,edge,2296620.3576477477
445,23,301,edge,2304360.9816197716
